SRR10572984	H12D
SRR10572985	H10E
SRR10572986	Tec7
SRR10572987	Lo9
SRR10572988	Lo43
SRR10572989	Lo28
SRR10572990	Lo16
SRR10572991	JT177
SRR10572992	H0C
SRR10572993	JT175
SRR10572994	JT174
SRR10572995	JT173
SRR10572996	JT172
SRR10572997	JT171
SRR10572998	JT170
SRR10572999	JT168
SRR10573000	JT167
SRR10573001	JT166
SRR10573002	JT165
SRR10573003	H0B
SRR10573004	JT164
SRR10573005	JT112
SRR10573006	JT108
SRR10573007	H8D
SRR10573008	H8C
SRR10573009	H8B
SRR10573010	H8A
SRR10573011	H6D
SRR10573012	H6C
SRR10573013	H6B
SRR10573014	H-2D
SRR10573015	H6A
SRR10573016	H4D
SRR10573017	H4C
SRR10573018	H4B
SRR10573019	H4A
SRR10573020	H2C
SRR10573021	H2B
SRR10573022	H2A
SRR10573023	H10D
SRR10573024	L93
SRR10573025	L65
SRR10573026	L62
SRR10573027	L5
SRR10573028	L132
SRR10573029	L111
SRR10573030	JT98
SRR10573031	JT97
SRR10573032	JT90
SRR10573033	JT89
SRR10573034	H10C
SRR10573035	JT87
SRR10573036	JT85
SRR10573037	JT80
SRR10573038	JT8
SRR10573039	JT6
SRR10573040	JT27
SRR10573041	JT25
SRR10573042	JT23
SRR10573043	JT21
SRR10573044	JT20
SRR10573045	H10B
SRR10573046	JT19
SRR10573047	JT188
SRR10573048	JT185
SRR10573049	JT184
SRR10573050	JT183
SRR10573051	JT182
SRR10573052	JT180
SRR10573053	JT179
SRR10573054	JT178
SRR10573055	H14D
SRR10573056	H14C
SRR10573057	H-2C
SRR10573058	Gig9
